loan_status,annual_inc,delinq_2yrs,dti,emp_length,int_rate,revol_bal,total_acc,funded_amnt,total_pymnt,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months
0.000000000000000000e+00,-5.580593469889451042e-01,-3.088536888778334322e-01,6.575860765766843308e-01,5.000000000000000000e+00,9.320000000000000506e-02,7.069010677358041894e-01,-3.576227453126645806e-01,-9.585930695206945629e-01,-1.212957906037120281e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.817870621585938484e-01,-3.088536888778334322e-01,1.438930203148117482e+00,8.000000000000000000e+00,1.557999999999999940e-01,4.564759507433337471e-01,9.653090119941201142e-01,1.848768379498576309e+00,2.050612211235684157e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.781154667234982059e-01,-3.088536888778334322e-01,7.202128958820279703e-01,6.000000000000000000e+00,6.619999999999999496e-02,-8.215060275484911134e-01,-5.340136462869025102e-01,2.406008333937100785e-01,1.689695575377505310e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-3.460906558934852550e-01,-3.088536888778334322e-01,1.221227450324779529e+00,1.000000000000000000e+01,9.879999999999999893e-02,-8.434808315645803134e-01,2.597454080971682289e-01,5.663933966132304043e-01,4.043564045581681810e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.537173555409385051e-01,-3.088536888778334322e-01,-2.266449674249568502e-01,2.000000000000000000e+00,1.159000000000000030e-01,7.584886418362530858e-01,9.653090119941201142e-01,-4.733701030235366036e-01,-3.725844514624280790e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.781154667234982059e-01,-3.088536888778334322e-01,-1.528388140128890793e+00,3.000000000000000000e+00,5.419999999999999818e-02,-4.569496634867022400e-01,3.479408585842871937e-01,-8.199579362357922729e-01,-7.369391878434267129e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.018284135419487479e-01,-3.088536888778334322e-01,1.015453615464363413e+00,8.000000000000000000e+00,1.640000000000000069e-01,9.586378227417631515e-02,1.229895363455477009e+00,9.822987964679371631e-01,1.603902573170450374e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,-5.780563933187055081e-01,-3.088536888778334322e-01,-1.158591683278288764e+00,8.000000000000000000e+00,1.218000000000000055e-01,-5.687644782238402419e-01,-4.458181957997836009e-01,-8.199579362357922729e-01,-7.074098117427863874e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.217959231693127475e-01,-3.088536888778334322e-01,-1.353927714921147052e+00,5.000000000000000000e+00,1.681999999999999884e-01,-2.760175164596422870e-01,3.479408585842871937e-01,-4.040525363810854587e-01,-1.973777286811431372e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,3.018136451907505458e-01,-3.088536888778334322e-01,6.993372894469137568e-01,4.000000000000000000e+00,1.189000000000000057e-01,6.900568847673385631e-02,7.007226605327631086e-01,-6.120052363084388380e-01,-4.778430266556168426e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.217811548181146009e-01,-3.088536888778334322e-01,9.662468288673078387e-01,1.000000000000000000e+01,7.489999999999999436e-02,7.052106981961050458e-01,-2.694272948255456157e-01,-9.585930695206945629e-01,-8.425250065755982565e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
